,시설명,소재지,시설장,전화번호,운영법인,원본 소재지,lat,lon
95,서문,"중구 달성공원로4길 30, 2F (대신동)",최미영,053)554-1157,사복)서문복지재단,"중구 달성공원로4길 30, 2F (대신동)",35.8715352,128.5808667
96,카리타스 시각장애인,중구 재마루1길 9-16(남산동),마언철,053)256-1120,사복)대구가톨릭사회복지회,중구 재마루1길 9-16(남산동),35.8632541,128.5882877
97,샬롬,"중구 명륜로21길 2, 4층",박상용,053)257-3800,사복)서문복지재단,"중구 명륜로21길 2, 4층",35.8624567,128.5948043
98,더불어,동구 갓바위로 35-7 (진인동),김선화,053)982-0109,사복)더불어복지재단,동구 갓바위로 35-7 (진인동),35.9646,128.71888
99,SOS 복지센터,동구 해동로 219 (검사동),정현주,053)985-3217,사복)한국sos어린이 마을,동구 해동로 219 (검사동),35.8887194,128.6447463
100,동촌*,동구 입석로 5 (입석동),오현주,053)983-8222,사복)아시아복지재단,동구 입석로 5 (입석동),35.8975057,128.6562003
101,한사랑,동구 율하동로28길 30-1(신기동),김동현,053)943-0442,사복)한사랑복지재단,동구 율하동로28길 30-1(신기동),35.87143,128.7054819
102,동구장애인 사회재활센터,"동구 안심로22길 40, 403호",성민재,053)962-7976,사)한국운동재활복지협회,동구 안심로22길 40 403호,35.8635067,128.695512
103,여기서 함께,"동구 동내로 21, 2층",이선희,053)217-9460,사)장애인지역공동체,"동구 동내로 21, 2층",35.8755886,128.7351044
104,마실,"동구 율하동로28길 30-1, 4층(신기동)",황상윤,053)710-5570,사복재)한사랑,"동구 율하동로28길30-1, 4층(신기동)",35.87143,128.7054819
105,청암낮생활 지원센터,동구 반야월로 271-47,김성준,053)965-0714,사복)청암재단(도전적),동구 반야월로271-47,35.8720368,128.7159352
106,서구,서구 달서로 27 (비산동),정윤웅,053)561-8166,사단)대구장애인재활협회,서구 달서로 27길 5 (비산동),35.8860108,128.5745264
107,서대구,서구 통학로 175-6 (평리동),김신국,053)521-8808,사복)예천연꽃마을,서구 통학로 175-6 (평리동),35.8695011,128.5632338
108,은동이,서구 국채보상로,한동락,053)524-9977,사)대구광역시지적발달장애인복지협회,서구 국채보상로 56길 7,35.8684927,128.5336388
109,더불어남구,남구 명덕로14길 68 (대명동),김미정,053)651-4867,사복)더불어복지재단,남구 명덕로14길 68 (대명동),35.855001,128.5766882
110,남구,남구 양지로 65 (대명동),도경자,053)621-2613,사단)대구장애인부모회,남구 양지로 65 (대명동),35.8511341,128.577979
111,밀알,남구 성당로60길 15 (대명동),김승예,053)623-0675,사복)한밀복지재단,남구 성당로60길 15 (대명동),35.8576873,128.5769787
112,꿈터,남구 현충로19길 29 (대명동),구영희,053)623-8200,사단)꿈터사람들,남구 현충로19길 29 (대명동),35.8414598,128.5785735
113,보경,남구 대봉로 109,김명혜,053)218-4172,사복)보경복지재단,남구 대봉로 109,35.8532211,128.6029356
114,대명,"남구 현충로 236 (대명동, 4층)",유재선,053)218-4172,사복)보경복지재단,"남구 현충로 236 (대명동, 4층)",35.8551058,128.5830448
115,시각장애인,"남구 현충로 206, 안마사협회 4,5층(대명3동)",전재명,053)428-4466,사)시각장애인연합회,"남구 현충로 206, 안마사협회 4,5층(대명3동)",35.8551058,128.5830448
116,푸른교실,"한강로8길 19, 302호(금호동)",정희용,053)324-1408,사단)대구지적발달 장애인복지협회,"한강로8길 19, 302호(금호동)",35.8955478,128.5194349
117,읍내,"북구 칠곡중앙대로 450, 401호(읍내동)",최현아,053)314-7927,대구행복진흥원,"북구 칠곡중앙대로 450, 401호(읍내동)",35.9055825,128.5471846
118,북구,북구 칠곡중앙대로 473 (관음동),박영선,053)321-3650,대구행복진흥원,북구 칠곡중앙대로 473 (관음동),35.9055825,128.5471846
119,상록,북구 산격로 31-1 (산격동),정미경,053)249-0964,사단)상록뇌성마비 복지회,북구 산격로 31-1 (산격동),35.8960484,128.6052627
120,강북,북구 구암로60길 46-17(구암동),노현주,053)311-3430,사복)해인복지재단,북구 구암로60길 46-17(구암동),35.9380969,128.5685187
121,희망,"북구 칠곡중앙대로 254(태전동,태전빌딩)",채동수,053)214-8100,사복)희망복지재단,"북구 칠곡중앙대로 254(태전동,태전빌딩)",35.9055825,128.5471846
122,보담,북구 연암로 183 (산격동),신재명,053)384-9197,사복)대구생명의전화,북구 연암로 183 (산격동),35.88964,128.6009575
123,아시아* 재활교육센터,수성구 노변공원로 49-1 (고산동),김순애,053)791-1121,사복)아시아복지재단,수성구 노변공원로 49-1 (고산동),35.8406355,128.6988229
124,화니,수성구 달구벌대로511길 34 (만촌동),배경희,053)744-8532,사복)화니재단,수성구 달구벌대로 511길 34 (만촌동),35.8603957,128.6421304
125,황금*,수성구 청수로45길 41 (황금동),오윤수,053)762-1251,사복)아시아복지재단,수성구 청수로45길 41 (황금동),35.8433116,128.63132445000002
126,한울,"수성구 들안로 150, 1층",장원덕,053)742-3217,사단)대구지적발달장애인복지협회 달서구지부,"수성구 들안로 150, 1층",35.8639697,128.6180897
127,수성,수성구 만촌로4길 20-1 (만촌동),박동열,053)753-0086,사단)한국뇌성마비 복지회대구ㆍ경북지회,수성구 만촌로4길 20-1 (만촌동),35.8618481,128.6460629
128,범물,수성구 범안로16길 41 (범물동),이경숙,053)782-5395,사단)늘푸른행복마을,수성구 범안로16길 41 (범물동),35.816132,128.6475786
129,시지,수성구 달구벌대로 97-4(욱수동),박경숙,053)795-7780,사)대구광역시지적발달장애인복지협회 수성구지부,수성구 달구벌대로650 길 97-4(욱수동),35.8354755,128.721367
130,달서구*,달서구 야외음악당로 146 (두류동),김동빈,053)628-2562,사단)대구장애인재활협회,달서구 야외음악당로 47길 146 (두류동),35.8442806,128.5525435
131,달서구성서,"달서구 신당로 56, 3층 (신당동)",이태희,053)583-1844,사복)전석복지재단,"달서구 신당로 56, 3층 (신당동)",35.853636,128.4955942
132,달서구상인*,"달서구 상화로 371, B1 (상인동)",성정규,053)641-1153,사복)대구가톨릭사회복지회,"달서구 상화로 371, B1 (상인동)",35.8083916,128.5544294
133,예은,"달서구 월배로68안길 7, 1층 (송현동)",이정식,053)526-9913,사단)대구지적발달 장애인복지협회,"달서구 월배로68안길 7, 1층 (송현동)",35.8263774,128.5498794
134,마루,달서구 대명천로16길 33 (성당동),원주해,053)655-1578,사복)창도복지재단,달서구 대명천로16길 33 (성당동),35.8410598,128.5515535
135,백향목,달서구 월배로85길 23 (송현동),이종원,053)627-8283,사단)대구지적발달장애인복지협회 달서구지부,달서구 월배로85길 23 (송현동),35.8332256,128.5487295
136,나누리,달서구 성서로72길 53-8(이곡동),장순자,053)582-0130,사복)대구희망복지재단,달서구 성서로 72길 53-8(이곡동),35.849413,128.5115833
137,달성군장애인* 복지관부설,달성군 논공읍 논공로 242,정계원,053)616-0260,사단)대구지체장애인협회 달성군지회,달성군 논공읍 논공로 242,35.7274178,128.4389107
138,사랑마을,달성군 다사읍 달구벌대로 14-14,김우봉,053)593-2088,사복)덕수복지재단,달성군 다사읍 달구벌대로126길 14-14,35.8546797,128.4368419
139,금동원,달성군 비슬로528길 4,이미향,053)644-2356,사단)대구지적발달장애인복지협회 성군지부,달성군 비슬로 528길 4,35.8056817,128.504899
140,대구장애인종합 복지관부설*,수성구 파동로51길 26-17 (파동),김대영,053)763-1011,사단)국제라이온스협회356-A지구,수성구 파동로51길 26-17 (파동),35.822805,128.6090805
141,달구벌종합 복지관부설*,달서구 달구벌대로 100 (용산동),서준기,053)527-0227,사단)대구지체장애인협회,달서구 달구벌대로 291길 100 (용산동),35.8530685,128.4761462
